id,gender,age,lengthofservice,entrymethod,2019 status,eNPS,vision,stability,missioncohe,customer,workload,evaluation,salary,growth,boss,colleagues,pa,home.store,jobmeaning,wellfare,clean,culture,influence,reputation,workingtime,promotesalary,autonomy,training,facilities,uniform
1100141,2,37,7,Old,Stay,1,4,3,4,4,2,3,2,5,3,4,4,4,4,2,4,3,4,4,2,4,4,4,4,4
1100142,2,33,7,Old,Leave,5,5,3,4,4,4,4,3,4,6,6,5,4,5,4,3,3,4,5,4,3,4,6,2,4
1100145,2,34,7,Old,Stay,3,4,3,3,2,3,2,3,2,3,4,4,2,2,4,4,2,4,4,3,3,2,4,3,4
1100146,1,37,7,Old,Stay,8,5,5,5,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5,5,5,4,5,4,4
1100149,1,42,7,Old,Stay,3,5,3,3,5,3,2,2,5,5,2,4,3,6,3,3,3,2,6,2,2,2,4,6,4
1100151,2,39,6,Old,Stay,3,2,1,3,3,3,3,3,2,3,5,4,3,2,3,4,2,3,5,4,1,2,3,1,4
1100152,2,35,6,Old,Stay,0,4,4,5,5,3,3,4,3,4,6,4,4,4,4,4,4,4,4,3,4,4,4,4,2
1100156,2,36,6,Old,Stay,3,6,5,6,6,2,2,1,3,4,4,4,2,5,2,5,2,5,5,1,1,1,2,2,3
1100157,2,42,6,Old,Stay,3,4,3,4,4,3,4,2,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,4,3
1100158,2,33,6,Old,Stay,5,5,3,5,6,2,5,3,5,5,6,5,2,6,1,3,6,5,6,1,3,3,3,3,4
1100160,2,32,6,Old,Stay,5,7,4,7,7,4,4,3,7,6,6,6,4,6,2,4,7,7,4,3,4,4,4,4,4
1100162,2,37,6,Old,Leave,1,4,5,4,5,2,2,1,4,4,4,4,4,6,2,4,4,6,5,2,1,2,5,5,4
1100165,2,33,6,Old,Stay,2,5,3,6,6,2,3,2,4,4,5,4,4,3,2,5,3,6,6,2,2,2,4,1,4
1100166,2,31,6,Old,Stay,0,2,1,4,4,3,3,1,2,2,4,4,4,4,2,4,2,4,4,4,2,3,4,4,4
1100167,2,33,6,Old,Leave,5,4,3,4,4,4,4,2,3,4,4,4,4,3,3,5,4,4,4,3,3,3,4,2,6
1100171,2,36,6,Old,Stay,1,2,1,4,4,1,2,2,4,2,2,2,4,2,1,4,4,4,4,1,1,4,1,1,4
1100173,2,30,6,Old,Stay,4,6,5,2,5,2,4,1,3,4,1,4,4,3,2,4,6,6,6,1,1,4,6,4,4
1100175,2,31,6,Old,Stay,0,4,1,1,4,2,4,3,4,2,3,4,2,4,3,4,2,4,4,3,4,4,4,1,4
1100176,1,32,6,Old,Stay,0,4,4,4,4,4,4,2,4,4,4,4,3,4,2,3,4,4,4,3,4,4,4,4,4
1100178,2,29,6,Old,Stay,3,7,1,5,6,5,5,1,5,5,6,6,6,6,1,5,5,5,6,2,3,5,5,4,4
